क	[41858]
शि	[3941, 114, 33279]
शी	[3941, 114, 31881]
शु	[3941, 114, 8703, 223]
शू	[3941, 114, 8703, 224]
शे	[3941, 114, 21981]
शै	[3941, 114, 43372]
शो	[3941, 114, 33926]
शौ	[3941, 114, 8703, 234]
शं	[3941, 114, 31945]
शः	[3941, 114, 3941, 225]
ष	[3941, 115]
षा	[3941, 115, 17937]
षि	[3941, 115, 33279]
षी	[3941, 115, 31881]
षु	[3941, 115, 8703, 223]
षू	[3941, 115, 8703, 224]
षे	[3941, 115, 21981]
षै	[3941, 115, 43372]
षो	[3941, 115, 33926]
षौ	[3941, 115, 8703, 234]
षं	[3941, 115, 31945]
षः	[3941, 115, 3941, 225]
स	[45938]
सा	[45938, 17937]
सि	[45938, 33279]
सी	[45938, 31881]
सु	[45938, 8703, 223]
सू	[45938, 8703, 224]
से	[45938, 21981]
सै	[45938, 43372]
सो	[45938, 33926]
सौ	[45938, 8703, 234]
सं	[45938, 31945]
सः	[45938, 3941, 225]
ह	[44500]
हा	[44500, 17937]
हि	[44500, 33279]
ही	[44500, 31881]
हु	[44500, 8703, 223]
हू	[44500, 8703, 224]
हे	[44500, 21981]
है	[44500, 43372]
हो	[44500, 33926]
हौ	[44500, 8703, 234]
हं	[44500, 31945]
हः	[44500, 3941, 225]
क्ष	[41858, 27099, 3941, 115]
क्षा	[41858, 27099, 3941, 115, 17937]
क्षि	[41858, 27099, 3941, 115, 33279]
क्षी	[41858, 27099, 3941, 115, 31881]
क्षु	[41858, 27099, 3941, 115, 8703, 223]
क्षू	[41858, 27099, 3941, 115, 8703, 224]
क्षे	[41858, 27099, 3941, 115, 21981]
क्षै	[41858, 27099, 3941, 115, 43372]
क्षो	[41858, 27099, 3941, 115, 33926]
क्षौ	[41858, 27099, 3941, 115, 8703, 234]
क्षं	[41858, 27099, 3941, 115, 31945]
क्षः	[41858, 27099, 3941, 115, 3941, 225]
त्र	[36158, 27099, 25411]
त्रा	[36158, 27099, 25411, 17937]
त्रि	[36158, 27099, 25411, 33279]
त्री	[36158, 27099, 25411, 31881]
त्रु	[36158, 27099, 25411, 8703, 223]
त्रू	[36158, 27099, 25411, 8703, 224]
त्रे	[36158, 27099, 25411, 21981]
त्रै	[36158, 27099, 25411, 43372]
त्रो	[36158, 27099, 25411, 33926]
त्रौ	[36158, 27099, 25411, 8703, 234]
त्रं	[36158, 27099, 25411, 31945]
त्रः	[36158, 27099, 25411, 3941, 225]
ज्ञ	[3941, 250, 27099, 3941, 252]
ज्ञा	[3941, 250, 27099, 3941, 252, 17937]
ज्ञि	[3941, 250, 27099, 3941, 252, 33279]
ज्ञी	[3941, 250, 27099, 3941, 252, 31881]
ज्ञु	[3941, 250, 27099, 3941, 252, 8703, 223]
ज्ञू	[3941, 250, 27099, 3941, 252, 8703, 224]
ज्ञे	[3941, 250, 27099, 3941, 252, 21981]
ज्ञै	[3941, 250, 27099, 3941, 252, 43372]
ज्ञो	[3941, 250, 27099, 3941, 252, 33926]
ज्ञौ	[3941, 250, 27099, 3941, 252, 8703, 234]
ज्ञं	[3941, 250, 27099, 3941, 252, 31945]
ज्ञः	[3941, 250, 27099, 3941, 252, 3941, 225]
श्र	[3941, 114, 27099, 25411]
श्रा	[3941, 114, 27099, 25411, 17937]
श्रि	[3941, 114, 27099, 25411, 33279]
श्री	[3941, 114, 27099, 25411, 31881]
श्रु	[3941, 114, 27099, 25411, 8703, 223]
श्रू	[3941, 114, 27099, 25411, 8703, 224]
श्रे	[3941, 114, 27099, 25411, 21981]
श्रै	[3941, 114, 27099, 25411, 43372]
श्रो	[3941, 114, 27099, 25411, 33926]
श्रौ	[3941, 114, 27099, 25411, 8703, 234]
श्रं	[3941, 114, 27099, 25411, 31945]
श्रः	[3941, 114, 27099, 25411, 3941, 225]
